brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url,segment_category,range_per_kwh,power_to_weight_ratio
Dacia,Spring Electric 65,125,25.0,Lithium-ion,72.0,113.0,114,160,13.7,29.0,CCS,0.0,308.0,4,FWD,A - Mini,3700,1622,1516,Hatchback,https://ev-database.org/car/2127/Dacia-Spring-Electric-65,A,6.4,12.42014506201851
Dongfeng,Box 31.4 kWh,140,29.0,Lithium-ion,,160.0,126,190,12.5,50.0,CCS,,326.0,5,FWD,B - Compact,4020,1810,1570,Hatchback,https://ev-database.org/car/3035/Dongfeng-Box-314-kWh,B,6.551724137931035,14.006050964167795
Dongfeng,Box 42.3 kWh,140,40.0,Lithium-ion,,160.0,129,255,12.5,51.0,CCS,,326.0,5,FWD,B - Compact,4020,1810,1570,Hatchback,https://ev-database.org/car/3036/Dongfeng-Box-423-kWh,B,6.375,14.006050964167795
Elaris,BEO 86 kWh,150,81.0,Lithium-ion,,320.0,203,390,9.5,65.0,CCS,,467.0,5,FWD,JD - Large,4698,1908,1696,SUV,https://ev-database.org/car/1975/Elaris-BEO-86-kWh,JD,4.814814814814815,21.049062012540556
Fiat,500e 3+1 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1726/Fiat-500e-3plus1-24-kWh,B,6.338028169014084,23.545332647735627
Fiat,500e 3+1 42 kWh,150,37.3,Lithium-ion,192.0,220.0,122,235,9.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1328/Fiat-500e-3plus1-42-kWh,B,6.3002680965147455,23.545332647735627
Fiat,500e Cabrio 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Cabriolet,https://ev-database.org/car/1727/Fiat-500e-Cabrio-24-kWh,B,6.338028169014084,23.545332647735627
Fiat,500e Cabrio 42 kWh,150,37.3,Lithium-ion,192.0,220.0,125,230,9.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Cabriolet,https://ev-database.org/car/1275/Fiat-500e-Cabrio-42-kWh,B,6.166219839142092,23.545332647735627
Fiat,500e Hatchback 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1327/Fiat-500e-Hatchback-24-kWh,B,6.338028169014084,23.545332647735627
Fiat,500e Hatchback 42 kWh,150,37.3,Lithium-ion,192.0,220.0,118,235,9.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh,B,6.3002680965147455,23.545332647735627
Fiat,600e,150,50.8,Lithium-ion,102.0,260.0,124,310,9.0,79.0,CCS,0.0,360.0,5,FWD,JB - Compact,4171,1781,1523,SUV,https://ev-database.org/car/1945/Fiat-600e,JB,6.10236220472441,22.981021832084494
Fiat,Grande Panda,132,43.8,Lithium-ion,,122.0,136,260,11.0,60.0,CCS,550.0,361.0,5,FWD,B - Compact,3999,1763,1570,Hatchback,https://ev-database.org/car/2251/Fiat-Grande-Panda,B,5.936073059360731,11.021899883567992
Ford,Capri Extended Range AWD,180,79.0,Lithium-ion,288.0,679.0,148,455,5.3,135.0,CCS,1200.0,572.0,5,AWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2242/Ford-Capri-Extended-Range-AWD,D,5.7594936708860756,48.04461360495798
Ford,Capri Extended Range RWD,180,77.0,Lithium-ion,288.0,545.0,135,455,6.4,120.0,CCS,1000.0,572.0,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2241/Ford-Capri-Extended-Range-RWD,D,5.909090909090909,38.563055102654054
Ford,Capri Standard Range RWD,160,52.0,Lithium-ion,192.0,310.0,163,320,9.0,85.0,CCS,1000.0,572.0,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2240/Ford-Capri-Standard-Range-RWD,D,6.153846153846154,21.934948773986708
Ford,Explorer Extended Range AWD,180,79.0,Lithium-ion,288.0,679.0,153,440,5.3,135.0,CCS,1200.0,536.0,5,AWD,JC - Medium,4468,1871,1639,SUV,https://ev-database.org/car/2169/Ford-Explorer-Extended-Range-AWD,JC,5.569620253164557,49.55687001498339
Ford,Explorer Extended Range RWD,180,77.0,Lithium-ion,288.0,545.0,139,435,6.4,120.0,CCS,1000.0,536.0,5,RWD,JC - Medium,4468,1871,1630,SUV,https://ev-database.org/car/2168/Ford-Explorer-Extended-Range-RWD,JC,5.64935064935065,39.99649604274962
Ford,Explorer Standard Range RWD,160,52.0,Lithium-ion,192.0,310.0,137,305,8.7,85.0,CCS,1000.0,536.0,5,RWD,JC - Medium,4468,1871,1630,SUV,https://ev-database.org/car/2167/Ford-Explorer-Standard-Range-RWD,JC,5.865384615384615,22.750300501380515
Ford,Mustang Mach-E ER AWD (MY25),180,88.0,Lithium-ion,,675.0,160,435,4.8,105.0,CCS,1500.0,519.0,5,AWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3189/Ford-Mustang-Mach-E-ER-AWD,JD,4.943181818181818,46.884740070325904
Ford,Mustang Mach-E ER AWD (MY24),180,91.0,Lithium-ion,376.0,675.0,165,445,4.6,115.0,CCS,1500.0,519.0,5,AWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2279/Ford-Mustang-Mach-E-ER-AWD,JD,4.8901098901098905,46.884740070325904
Ford,Mustang Mach-E ER RWD (MY25),180,88.0,Lithium-ion,,525.0,147,475,6.1,105.0,CCS,1500.0,519.0,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3188/Ford-Mustang-Mach-E-ER-RWD,JD,5.3977272727272725,36.46590894358682
Ford,Mustang Mach-E ER RWD (MY24),180,91.0,Lithium-ion,376.0,525.0,152,480,5.9,115.0,CCS,1500.0,519.0,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2278/Ford-Mustang-Mach-E-ER-RWD,JD,5.274725274725275,36.46590894358682
Ford,Mustang Mach-E GT (MY24),200,91.0,Lithium-ion,376.0,950.0,177,425,3.8,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1613,SUV,https://ev-database.org/car/2280/Ford-Mustang-Mach-E-GT,JD,4.670329670329671,66.01571292003591
Ford,Mustang Mach-E GT (MY25),200,91.0,Lithium-ion,376.0,950.0,177,435,3.8,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1613,SUV,https://ev-database.org/car/3190/Ford-Mustang-Mach-E-GT,JD,4.78021978021978,66.01571292003591
Ford,Mustang Mach-E Rally (MY25),200,91.0,Lithium-ion,376.0,950.0,178,415,3.9,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1633,SUV,https://ev-database.org/car/3191/Ford-Mustang-Mach-E-Rally,JD,4.56043956043956,65.2071922474084
Ford,Mustang Mach-E Rally (MY24),200,91.0,Lithium-ion,376.0,950.0,178,410,3.9,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1633,SUV,https://ev-database.org/car/2275/Ford-Mustang-Mach-E-Rally,JD,4.5054945054945055,65.2071922474084
Ford,Mustang Mach-E SR RWD (MY24),180,72.6,Lithium-ion,,525.0,154,385,6.2,100.0,CCS,750.0,519.0,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2277/Ford-Mustang-Mach-E-SR-RWD,JD,5.303030303030304,36.46590894358682
Ford,Mustang Mach-E SR RWD (MY25),180,72.6,Lithium-ion,,525.0,154,380,6.2,100.0,CCS,750.0,519.0,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3187/Ford-Mustang-Mach-E-SR-RWD,JD,5.234159779614325,36.46590894358682
Ford,Puma Gen-E,160,43.6,Lithium-ion,,290.0,126,275,8.0,85.0,CCS,750.0,523.0,5,FWD,JB - Compact,4214,1805,1555,SUV,https://ev-database.org/car/3073/Ford-Puma-Gen-E,JB,6.307339449541284,24.518611204818473
Ford,e-Tourneo Courier,145,43.6,Lithium-ion,,290.0,164,200,11.0,80.0,CCS,750.0,,5,FWD,N - Passenger Van,4337,1876,1817,Small Passenger Van,https://ev-database.org/car/3166/Ford-e-Tourneo-Courier,N,4.587155963302752,19.616468011475263
Ford,e-Tourneo Custom L1 160 kW,130,64.0,Lithium-ion,,415.0,370,235,9.0,70.0,CCS,2000.0,672.0,8,RWD,N - Passenger Van,5050,1999,1959,Small Passenger Van,https://ev-database.org/car/3162/Ford-e-Tourneo-Custom-L1-160-kW,N,3.671875,20.98502488145098
Ford,e-Tourneo Custom L1 210 kW,130,64.0,Lithium-ion,,415.0,370,235,8.0,70.0,CCS,2000.0,672.0,8,RWD,N - Passenger Van,5050,1999,1959,Small Passenger Van,https://ev-database.org/car/3163/Ford-e-Tourneo-Custom-L1-210-kW,N,3.671875,20.98502488145098
Ford,e-Tourneo Custom L2 160 kW,150,64.0,Lithium-ion,,415.0,370,235,9.0,70.0,CCS,2000.0,672.0,8,RWD,N - Passenger Van,5908,1999,1959,Small Passenger Van,https://ev-database.org/car/3164/Ford-e-Tourneo-Custom-L2-160-kW,N,3.671875,17.937436636988394
Ford,e-Tourneo Custom L2 210 kW,150,64.0,Lithium-ion,,415.0,370,235,8.0,70.0,CCS,2000.0,672.0,8,RWD,N - Passenger Van,5908,1999,1959,Small Passenger Van,https://ev-database.org/car/3165/Ford-e-Tourneo-Custom-L2-210-kW,N,3.671875,17.937436636988394
GWM,ORA 03 48 kWh,160,45.4,Lithium-ion,,250.0,146,260,8.3,45.0,CCS,0.0,228.0,5,FWD,C - Medium,4235,1825,1603,Hatchback,https://ev-database.org/car/2091/GWM-ORA-03-48-kWh,C,5.726872246696035,20.17856150324149
GWM,ORA 03 63 kWh,160,59.3,Lithium-ion,,250.0,141,340,8.2,56.0,CCS,0.0,228.0,5,FWD,C - Medium,4235,1825,1603,Hatchback,https://ev-database.org/car/2092/GWM-ORA-03-63-kWh,C,5.733558178752109,20.17856150324149
GWM,ORA 03 GT,160,59.3,Lithium-ion,,250.0,148,325,8.2,56.0,CCS,0.0,228.0,5,FWD,C - Medium,4254,1848,1603,Hatchback,https://ev-database.org/car/2093/GWM-ORA-03-GT,C,5.480607082630692,19.838417870316803
GWM,ORA 07 GT,180,83.5,Lithium-ion,,680.0,161,430,4.5,80.0,CCS,0.0,333.0,5,AWD,D - Large,4871,1862,1500,Sedan,https://ev-database.org/car/2247/GWM-ORA-07-GT,D,5.149700598802395,49.982715535943704
GWM,ORA 07 Pro,170,64.3,Lithium-ion,,340.0,146,350,8.2,75.0,CCS,0.0,333.0,5,FWD,D - Large,4871,1862,1500,Sedan,https://ev-database.org/car/2246/GWM-ORA-07-Pro,D,5.443234836702955,24.991357767971852
GWM,ORA 07 Pure,170,64.3,Lithium-ion,,340.0,146,350,8.2,75.0,CCS,0.0,333.0,5,FWD,D - Large,4871,1862,1500,Sedan,https://ev-database.org/car/2245/GWM-ORA-07-Pure,D,5.443234836702955,24.991357767971852
Genesis,G80 Electrified Luxury,225,82.5,Lithium-ion,,700.0,159,440,4.9,160.0,CCS,,354.0,5,AWD,F - Luxury,5005,1925,1470,Sedan,https://ev-database.org/car/1703/Genesis-G80-Electrified-Luxury,F,5.333333333333333,49.42491027834256
Genesis,GV60 Premium,185,74.0,Lithium-ion,384.0,350.0,143,390,7.8,200.0,CCS,1600.0,432.0,5,RWD,JC - Medium,4515,1890,1580,SUV,https://ev-database.org/car/1647/Genesis-GV60-Premium,JC,5.27027027027027,25.95920562754043
Genesis,GV60 Sport,200,74.0,Lithium-ion,384.0,605.0,157,375,5.5,200.0,CCS,1600.0,432.0,5,AWD,JC - Medium,4515,1890,1580,SUV,https://ev-database.org/car/1648/Genesis-GV60-Sport,JC,5.0675675675675675,44.87234115617703
Genesis,GV60 Sport Plus,235,74.0,Lithium-ion,384.0,700.0,159,360,4.0,200.0,CCS,1600.0,432.0,5,AWD,JC - Medium,4515,1890,1580,SUV,https://ev-database.org/car/1649/Genesis-GV60-Sport-Plus,JC,4.864864864864865,51.91841125508086
Genesis,GV70 Electrified Sport,235,74.0,Lithium-ion,384.0,700.0,163,350,4.2,190.0,CCS,1800.0,503.0,5,AWD,JD - Large,4715,1910,1630,SUV,https://ev-database.org/car/1725/Genesis-GV70-Electrified-Sport,JD,4.72972972972973,47.68649156482166
Honda,e:Ny1,160,61.9,Lithium-ion,,310.0,150,335,7.6,60.0,CCS,0.0,361.0,5,FWD,JB - Compact,4387,1790,1584,SUV,https://ev-database.org/car/1940/Honda-eNy1,JB,5.4119547657512115,24.922169832283895
Hongqi,E-HS9 120 kWh,200,112.0,Lithium-ion,,750.0,217,455,4.9,110.0,CCS,1500.0,438.0,5,AWD,JF - Luxury,5209,2010,1731,SUV,https://ev-database.org/car/2050/Hongqi-E-HS9-120-kWh,JF,4.0625,41.38221956623412
Hongqi,E-HS9 84 kWh,200,76.5,Lithium-ion,,600.0,193,320,6.5,112.0,CCS,1500.0,438.0,5,AWD,JF - Luxury,5209,2010,1731,SUV,https://ev-database.org/car/1746/Hongqi-E-HS9-84-kWh,JF,4.183006535947713,33.1057756529873
Hongqi,E-HS9 99 kWh,200,90.0,Lithium-ion,,750.0,194,370,4.9,112.0,CCS,1500.0,438.0,5,AWD,JF - Luxury,5209,2010,1731,SUV,https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh,JF,4.111111111111111,41.38221956623412
Hyundai,INSTER Long Range,150,46.0,Lithium-ion,,147.0,124,300,10.6,70.0,CCS,,280.0,4,FWD,JA - Mini,3825,1610,1575,SUV,https://ev-database.org/car/2231/Hyundai-INSTER-Long-Range,JA,6.521739130434782,15.155820782419246
Hyundai,INSTER Standard Range,140,39.0,Lithium-ion,,147.0,119,255,11.7,60.0,CCS,,280.0,4,FWD,JA - Mini,3825,1610,1575,SUV,https://ev-database.org/car/2230/Hyundai-INSTER-Standard-Range,JA,6.538461538461538,15.155820782419246
Hyundai,IONIQ 5 63 kWh RWD (MY24),185,60.0,Lithium-ion,288.0,350.0,136,345,8.5,150.0,CCS,750.0,520.0,5,RWD,JC - Medium,4655,1890,1605,SUV,https://ev-database.org/car/2235/Hyundai-IONIQ-5-63-kWh-RWD,JC,5.75,24.786289513528168
Hyundai,IONIQ 5 84 kWh AWD (MY24),185,80.0,Lithium-ion,384.0,605.0,162,445,5.3,205.0,CCS,1600.0,520.0,5,AWD,JC - Medium,4655,1890,1605,SUV,https://ev-database.org/car/2237/Hyundai-IONIQ-5-84-kWh-AWD,JC,5.5625,42.844871873384406
Hyundai,IONIQ 5 84 kWh RWD (MY24),185,80.0,Lithium-ion,384.0,350.0,155,450,7.5,205.0,CCS,1600.0,520.0,5,RWD,JC - Medium,4655,1890,1605,SUV,https://ev-database.org/car/2236/Hyundai-IONIQ-5-84-kWh-RWD,JC,5.625,24.786289513528168
Hyundai,IONIQ 5 N (MY24),260,80.0,Lithium-ion,384.0,740.0,179,390,3.4,205.0,CCS,0.0,480.0,5,AWD,JC - Medium,4715,1940,1585,SUV,https://ev-database.org/car/2044/Hyundai-IONIQ-5-N,JC,4.875,51.0409825637451
Hyundai,IONIQ 6 Long Range 2WD,185,74.0,Lithium-ion,384.0,350.0,136,495,7.4,200.0,CCS,1500.0,401.0,5,RWD,D - Large,4855,1880,1495,Sedan,https://ev-database.org/car/1718/Hyundai-IONIQ-6-Long-Range-2WD,D,6.6891891891891895,25.64955106323618
Hyundai,IONIQ 6 Long Range AWD,185,74.0,Lithium-ion,384.0,605.0,143,440,5.1,200.0,CCS,1500.0,401.0,5,AWD,D - Large,4855,1880,1495,Sedan,https://ev-database.org/car/1719/Hyundai-IONIQ-6-Long-Range-AWD,D,5.945945945945946,44.33708112359397
Hyundai,IONIQ 6 Standard Range 2WD,185,50.0,Lithium-ion,264.0,350.0,117,335,8.8,120.0,CCS,750.0,401.0,5,RWD,D - Large,4855,1880,1495,Sedan,https://ev-database.org/car/1717/Hyundai-IONIQ-6-Standard-Range-2WD,D,6.7,25.64955106323618
Hyundai,IONIQ 9 Long Range AWD,200,106.0,Lithium-ion,,605.0,177,490,6.7,195.0,CCS,2500.0,338.0,7,AWD,JF - Luxury,5060,1980,1790,SUV,https://ev-database.org/car/3068/Hyundai-IONIQ-9-Long-Range-AWD,JF,4.622641509433962,33.73546001673279
Hyundai,IONIQ 9 Long Range RWD,185,106.0,Lithium-ion,,350.0,171,500,9.4,195.0,CCS,1600.0,338.0,7,RWD,JF - Luxury,5060,1980,1790,SUV,https://ev-database.org/car/3067/Hyundai-IONIQ-9-Long-Range-RWD,JF,4.716981132075472,19.51638182786194
Hyundai,IONIQ 9 Performance AWD,200,106.0,Lithium-ion,,700.0,177,480,5.2,195.0,CCS,2500.0,338.0,7,AWD,JF - Luxury,5060,1980,1790,SUV,https://ev-database.org/car/3069/Hyundai-IONIQ-9-Performance-AWD,JF,4.528301886792453,39.03276365572388
Hyundai,Kona Electric 48 kWh,160,48.4,Lithium-ion,,255.0,128,295,8.8,50.0,CCS,300.0,466.0,5,FWD,JB - Compact,4355,1825,1575,SUV,https://ev-database.org/car/1829/Hyundai-Kona-Electric-48-kWh,JB,6.095041322314049,20.370823887487145
Hyundai,Kona Electric 65 kWh,170,65.4,Lithium-ion,,255.0,144,390,7.8,86.0,CCS,750.0,466.0,5,FWD,JB - Compact,4355,1825,1575,SUV,https://ev-database.org/car/1830/Hyundai-Kona-Electric-65-kWh,JB,5.963302752293577,20.370823887487145
Jaguar,I-Pace EV400,200,84.7,Lithium-ion,432.0,696.0,208,380,4.8,85.0,CCS,750.0,505.0,5,AWD,JD - Large,4682,2011,1566,SUV,https://ev-database.org/car/1812/Jaguar-I-Pace-EV400,JD,4.48642266824085,47.20347831102839
Jeep,Avenger Electric,150,50.8,Lithium-ion,102.0,260.0,132,310,9.0,85.0,CCS,0.0,355.0,5,FWD,JB - Compact,4084,1776,1528,SUV,https://ev-database.org/car/1816/Jeep-Avenger-Electric,JB,6.10236220472441,23.459637596788834
Jeep,Compass Electric 74 kWh,180,74.0,Lithium-ion,,345.0,148,370,8.5,90.0,CCS,1000.0,550.0,5,FWD,JC - Medium,4552,1928,1675,SUV,https://ev-database.org/car/3181/Jeep-Compass-Electric-74-kWh,JC,5.0,23.469022468548243
KGM,Torres EVX,175,72.0,Lithium-ion,,339.0,156,370,8.1,85.0,CCS,1500.0,839.0,5,FWD,JC - Medium,4715,1890,1725,SUV,https://ev-database.org/car/2189/KGM-Torres-EVX,JC,5.138888888888889,22.052970552209796
Kia,EV3 Long Range,170,78.0,Lithium-ion,,283.0,139,455,7.7,105.0,CCS,1000.0,460.0,5,FWD,JB - Compact,4300,1850,1560,SUV,https://ev-database.org/car/2212/Kia-EV3-Long-Range,JB,5.833333333333333,22.804557688278617
Kia,EV3 Standard Range,170,55.0,Lithium-ion,,283.0,133,325,7.5,80.0,CCS,300.0,460.0,5,FWD,JB - Compact,4300,1850,1560,SUV,https://ev-database.org/car/2211/Kia-EV3-Standard-Range,JB,5.909090909090909,22.804557688278617
Kia,EV4 Hatchback Long Range,170,78.0,Lithium-ion,,283.0,132,475,7.7,105.0,CCS,,435.0,5,FWD,C - Medium,4430,1860,1485,Hatchback,https://ev-database.org/car/3124/Kia-EV4-Hatchback-Long-Range,C,6.089743589743589,23.128278668461682
Kia,EV4 Hatchback Standard Range,170,55.0,Lithium-ion,,283.0,134,340,7.4,80.0,CCS,,435.0,5,FWD,C - Medium,4430,1860,1485,Hatchback,https://ev-database.org/car/3123/Kia-EV4-Hatchback-Standard-Range,C,6.181818181818182,23.128278668461682
Kia,EV4 Sedan Long Range,170,78.0,Lithium-ion,,283.0,124,495,7.7,105.0,CCS,,490.0,5,FWD,C - Medium,4730,1860,1480,Sedan,https://ev-database.org/car/3122/Kia-EV4-Sedan-Long-Range,C,6.346153846153846,21.734549116394575
Kia,EV4 Sedan Standard Range,170,55.0,Lithium-ion,,283.0,128,355,7.4,80.0,CCS,,490.0,5,FWD,C - Medium,4730,1860,1480,Sedan,https://ev-database.org/car/3121/Kia-EV4-Sedan-Standard-Range,C,6.454545454545454,21.734549116394575
Kia,EV6 GT,260,80.0,Lithium-ion,384.0,770.0,178,385,3.5,205.0,CCS,1800.0,480.0,5,AWD,JC - Medium,4695,1890,1545,SUV,https://ev-database.org/car/3079/Kia-EV6-GT,JC,4.8125,56.16488068728454
Kia,EV6 Long Range 2WD,185,80.0,Lithium-ion,384.0,350.0,143,455,7.3,205.0,CCS,1800.0,490.0,5,RWD,JC - Medium,4695,1880,1575,SUV,https://ev-database.org/car/3028/Kia-EV6-Long-Range-2WD,JC,5.6875,25.176423789706366
Kia,EV6 Long Range AWD,185,80.0,Lithium-ion,384.0,605.0,154,440,5.2,205.0,CCS,1800.0,490.0,5,AWD,JC - Medium,4695,1880,1575,SUV,https://ev-database.org/car/3029/Kia-EV6-Long-Range-AWD,JC,5.5,43.51924683649243
Kia,EV6 Standard Range 2WD,185,60.0,Lithium-ion,288.0,350.0,140,345,8.7,150.0,CCS,750.0,490.0,5,RWD,JC - Medium,4695,1880,1575,SUV,https://ev-database.org/car/3030/Kia-EV6-Standard-Range-2WD,JC,5.75,25.176423789706366
Kia,EV9 76.1 kWh RWD,190,73.0,Lithium-ion,348.0,350.0,165,355,8.5,160.0,CCS,900.0,333.0,7,RWD,JF - Luxury,5010,1980,1755,SUV,https://ev-database.org/car/1833/Kia-EV9-761-kWh-RWD,JF,4.863013698630137,20.10425607675552
Kia,EV9 99.8 kWh AWD,200,96.0,Lithium-ion,456.0,600.0,188,435,6.0,194.0,CCS,2500.0,333.0,7,AWD,JF - Luxury,5010,1980,1755,SUV,https://ev-database.org/car/1835/Kia-EV9-998-kWh-AWD,JF,4.53125,34.46443898872375
Kia,EV9 99.8 kWh AWD GT,220,96.0,Lithium-ion,456.0,740.0,190,420,4.6,194.0,CCS,2500.0,333.0,7,AWD,JF - Luxury,5015,1980,1755,SUV,https://ev-database.org/car/3196/Kia-EV9-998-kWh-AWD-GT,JF,4.375,42.46376241501975
Kia,EV9 99.8 kWh AWD GT-Line,200,96.0,Lithium-ion,456.0,700.0,190,425,5.3,194.0,CCS,2500.0,333.0,7,AWD,JF - Luxury,5015,1980,1780,SUV,https://ev-database.org/car/1993/Kia-EV9-998-kWh-AWD-GT-Line,JF,4.427083333333333,39.60426064899162
Kia,EV9 99.8 kWh RWD,185,96.0,Lithium-ion,456.0,350.0,171,450,9.4,194.0,CCS,900.0,333.0,7,RWD,JF - Luxury,5010,1980,1755,SUV,https://ev-database.org/car/1834/Kia-EV9-998-kWh-RWD,JF,4.6875,20.10425607675552
Kia,Niro EV,167,64.8,Lithium-ion,96.0,255.0,140,385,7.8,70.0,CCS,750.0,475.0,5,FWD,JC - Medium,4420,1825,1570,SUV,https://ev-database.org/car/1666/Kia-Niro-EV,JC,5.941358024691358,20.13517413569765
Lancia,Ypsilon,150,48.1,Lithium-ion,96.0,260.0,122,310,8.2,80.0,CCS,0.0,309.0,5,FWD,B - Compact,4080,1760,1440,Hatchback,https://ev-database.org/car/2117/Lancia-Ypsilon,B,6.444906444906445,25.144211725094074
Leapmotor,C10,170,69.9,Lithium-ion,,320.0,166,350,7.5,70.0,CCS,1500.0,435.0,5,RWD,JD - Large,4739,1900,1680,SUV,https://ev-database.org/car/3040/Leapmotor-C10,JD,5.007153075822603,21.154384166789626
Leapmotor,T03,130,36.0,Lithium-ion,,158.0,136,225,12.7,30.0,CCS,,210.0,4,FWD,A - Mini,3620,1652,1577,Hatchback,https://ev-database.org/car/3039/Leapmotor-T03,A,6.25,16.75354745339674
Lexus,RZ 300e,160,64.0,Lithium-ion,96.0,266.0,149,365,8.0,100.0,CCS,750.0,522.0,5,FWD,JC - Medium,4690,1860,1600,SUV,https://ev-database.org/car/3027/Lexus-RZ-300e,JC,5.703125,19.0579361258225
Lexus,RZ 450e,160,64.0,Lithium-ion,96.0,435.0,158,350,5.6,100.0,CCS,750.0,522.0,5,AWD,JD - Large,4805,1895,1635,SUV,https://ev-database.org/car/1677/Lexus-RZ-450e,JD,5.46875,29.219238520951365
Lexus,UX 300e,160,64.0,Lithium-ion,96.0,300.0,145,340,7.5,35.0,CHAdeMO,0.0,316.0,5,FWD,JC - Medium,4495,1840,1545,SUV,https://ev-database.org/car/1943/Lexus-UX-300e,JC,5.3125,23.477143357541397
